,productsku,fullvisitorid,tot_interest,product_name
645,GGOEGDHQ015399,2008785002910996057,33.5,26 oz Double Wall Insulated Bottle
646,GGOEGAYB068056,2008785002910996057,29.5,Google Youth Baseball Raglan Heather/Black
647,GGOEGAYB068024,2008785002910996057,29.5,Google Youth Baseball Raglan Heather/Black
648,GGOEGADB056915,2008785002910996057,29.5,Google Men's Performance Full Zip Jacket Black
649,GGOEGATB060214,2008785002910996057,29.5,Google Women's 1/4 Zip Performance Pullover Black
650,GGOEGEVA022399,2284555599203977570,2.0,Micro Wireless Earbud
651,GGOEGALQ034213,2284555599203977570,26.0,Google Women's Vintage Hero Tee White
652,GGOEGAER029713,2284555599203977570,26.0,Google Women's Short Sleeve Hero Tee Red Heather
653,GGOEGETB023799,2284555599203977570,26.0,Google Power Bank
654,GGOEGEVA022399,8841197329105123740,1.5,Micro Wireless Earbud
655,GGOEGBRJ037399,8841197329105123740,2.0,Google Rucksack
656,GGOEGBRJ037299,8841197329105123740,2.0,Google Alpine Style Backpack
657,GGOEYAAJ032515,8841197329105123740,26.0,YouTube Men's Short Sleeve Hero Tee Charcoal
658,GGOEYAFB073115,8841197329105123740,26.0,YouTube Men's Fleece Hoodie Black
659,GGOEGAAX0326,03717831825503026,2.5,Google Men's Short Sleeve Badge Tee Charcoal
660,GGOEGAAJ032616,03717831825503026,33.0,Google Men's Short Sleeve Badge Tee Charcoal
661,GGOEGAAX0338,1868979439923677894,4.5,Google Men's Vintage Badge Tee Black
662,GGOEGAAX0358,1868979439923677894,3.0,Google Men's  Zip Hoodie
663,GGOEAXXX0808,1868979439923677894,3.0,Android Men's Engineer Short Sleeve Tee Charcoal
664,GGOEGESC014099,9249130983722228273,4.0,Rocket Flashlight
665,GGOEGAAX0605,9249130983722228273,2.5,Google Women's Quilted Insulated Vest White
666,GGOEGAAX0580,9249130983722228273,2.5,Google Women's 1/4 Zip Jacket Charcoal
667,GGOEGBRJ037299,076085547156904396,2.0,Google Alpine Style Backpack
668,GGOEAFKQ020599,076085547156904396,4.0,Android Sticker Sheet Ultra Removable
669,GGOEGBMJ013399,076085547156904396,4.0,Sport Bag
670,GGOEGDHC074099,076085547156904396,4.0,Google 17oz Stainless Steel Sport Bottle
671,GGOEGDWR015799,076085547156904396,7.0,Red Shine 15 oz Mug
672,GGOEGAAX0617,6819686597729874393,10.5,Android Onesie Gold
673,GGOEGKWQ060910,6819686597729874393,7.0,Google Bib White
674,GGOEAAWT061748,6819686597729874393,-2.5,Android Onesie Gold
675,GGOEGODR017799,7720463169914643064,9.5,Recycled Mouse Pad
676,GGOEGAAX0781,7720463169914643064,9.5,Google Leather Journal
677,GGOEGOCD078399,7720463169914643064,9.5,Google Leather Perforated Journal
678,GGOEGOCB078299,7720463169914643064,3.5,Google Leather Journal-Black
679,GGOEGAAX0570,9064503463693769960,2.0,Google Men's Short Sleeve Performance Badge Tee Charcoal
680,GGOEGAAX0323,9064503463693769960,2.5,Google Men's Short Sleeve Hero Tee Charcoal
681,GGOEGAAX0338,9064503463693769960,2.0,Google Men's Vintage Badge Tee Black
682,GGOEGAAX0326,9064503463693769960,2.5,Google Men's Short Sleeve Badge Tee Charcoal
683,GGOEGAAX0105,9064503463693769960,2.5,Google Men's 100% Cotton Short Sleeve Hero Tee Black
684,GGOEGAAX0591,2020765393756185156,7.5,Google Men's Short Sleeve Performance Badge Tee Pewter
685,GGOEGAAX0602,2020765393756185156,2.0,Google Women's 1/4 Zip Performance Pullover Black
686,GGOEGAAX0364,2020765393756185156,4.0,Google Women's Tee Grey
687,GGOEGAAJ059114,2020765393756185156,-2.5,Google Men's Short Sleeve Performance Badge Tee Pewter
688,GGOEGAAJ059113,2020765393756185156,3.5,Google Men's Short Sleeve Performance Badge Tee Pewter
689,GGOEGALJ036413,2020765393756185156,3.5,Google Women's Tee Grey
690,GGOEGAAX0366,2020765393756185156,4.0,Google Women's Scoop Neck Tee White
691,GGOEGBRB013899,718640226837019023,2.0,Google Laptop Backpack
692,GGOEGAAX0595,718640226837019023,1.5,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo
693,GGOEGAAX0037,718640226837019023,1.5,Google Sunglasses
694,GGOEGESQ016799,718640226837019023,1.5,Plastic Sliding Flashlight
695,GGOEGESC014099,718640226837019023,1.5,Rocket Flashlight
696,GGOEGESB015099,718640226837019023,2.0,Basecamp Explorer Powerbank Flashlight
697,GGOEGAAX0104,718640226837019023,4.0,Google Men's 100% Cotton Short Sleeve Hero Tee White
698,GGOEGAAQ010415,718640226837019023,3.5,Google Men's 100% Cotton Short Sleeve Hero Tee White
699,GGOEGOAB022499,1850206187599338645,19.5,Satin Black Ballpoint Pen
700,GGOEGOAB021499,1850206187599338645,2.0,Metal Texture Roller Pen
701,GGOEGAAX0341,11577526465501235,4.0,Google Women's Vintage Hero Tee Black
702,GGOEGAAX0281,11577526465501235,2.5,Google Women's Short Sleeve Badge Tee Grey
703,GGOEGPJC203399,11577526465501235,4.0,Crunch Noise Dog Toy
704,GGOEGOLC013299,11577526465501235,4.0,Spiral Notebook and Pen Set
